date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2014-11-16;CO-CUN;26;0;0;0;0;0;0
2014-11-23;CO-CUN;43;0;0;0;0;33;24
2014-11-30;CO-CUN;0;0;0;100;0;0;0
2014-12-07;CO-CUN;0;0;0;56;38;50;0
2014-12-14;CO-CUN;0;0;0;0;0;40;0
2014-12-21;CO-CUN;0;0;0;0;0;0;0
2014-12-28;CO-CUN;84;45;0;0;71;50;0
2015-01-04;CO-CUN;0;0;0;0;0;0;0
2015-01-11;CO-CUN;100;0;0;0;0;0;45
2015-01-18;CO-CUN;0;0;0;0;0;0;62
2015-01-25;CO-CUN;0;100;0;0;0;50;0
2015-02-01;CO-CUN;45;0;0;0;0;0;0
2015-02-08;CO-CUN;0;0;0;0;0;31;0
2015-02-15;CO-CUN;78;0;0;0;0;0;0
2015-02-22;CO-CUN;0;0;0;0;0;100;35
2015-03-01;CO-CUN;0;0;0;0;100;0;0
2015-03-08;CO-CUN;0;0;0;81;0;0;0
2015-03-15;CO-CUN;0;16;0;0;0;0;66
2015-03-22;CO-CUN;57;0;0;0;0;0;55
2015-03-29;CO-CUN;0;0;0;0;0;75;0
2015-04-05;CO-CUN;0;0;0;0;0;0;0
2015-04-12;CO-CUN;0;14;0;0;0;0;0
2015-04-19;CO-CUN;0;0;0;0;0;0;0
2015-04-26;CO-CUN;0;0;0;0;0;0;0
2015-05-03;CO-CUN;69;0;0;0;0;0;0
2015-05-10;CO-CUN;0;19;0;0;0;0;25
2015-05-17;CO-CUN;0;31;0;0;0;0;0
2015-05-24;CO-CUN;72;0;0;0;0;28;0
2015-05-31;CO-CUN;0;0;0;0;56;0;0
2015-06-07;CO-CUN;0;16;0;36;91;0;0
2015-06-14;CO-CUN;0;0;0;44;50;0;0
2015-06-21;CO-CUN;0;0;0;0;0;0;0
2015-06-28;CO-CUN;0;0;0;0;0;0;93
2015-07-05;CO-CUN;0;18;0;100;0;0;0
2015-07-12;CO-CUN;0;0;0;0;69;0;100
2015-07-19;CO-CUN;34;0;0;0;0;39;31
2015-07-26;CO-CUN;0;0;0;0;0;0;0
2015-08-02;CO-CUN;0;0;0;0;0;0;0
2015-08-09;CO-CUN;0;0;0;0;83;25;0
2015-08-16;CO-CUN;35;0;0;58;0;0;0
2015-08-23;CO-CUN;0;21;0;0;95;35;41
2015-08-30;CO-CUN;0;0;0;0;0;48;0
2015-09-06;CO-CUN;0;0;0;32;0;0;0
2015-09-13;CO-CUN;0;0;0;28;0;0;0
2015-09-20;CO-CUN;0;0;0;30;0;0;0
2015-09-27;CO-CUN;0;37;0;0;0;0;0
2015-10-04;CO-CUN;0;0;0;0;0;0;0
2015-10-11;CO-CUN;0;0;0;0;0;0;0
2015-10-18;CO-CUN;38;0;0;0;0;0;39
2015-10-25;CO-CUN;0;0;0;0;0;0;0
2015-11-01;CO-CUN;0;0;0;0;0;0;0
2015-11-08;CO-CUN;37;12;0;0;20;0;42
2015-11-15;CO-CUN;28;0;0;11;0;17;0
2015-11-22;CO-CUN;14;0;0;0;31;0;15
2015-11-29;CO-CUN;0;8;0;22;20;0;0
2015-12-06;CO-CUN;0;11;0;0;0;0;0
2015-12-13;CO-CUN;0;0;0;28;38;0;0
2015-12-20;CO-CUN;0;0;0;0;0;0;0
2015-12-27;CO-CUN;0;7;0;0;37;0;13
2016-01-03;CO-CUN;0;0;0;36;0;80;0
2016-01-10;CO-CUN;0;39;0;100;100;0;36
2016-01-17;CO-CUN;28;0;0;25;0;46;0
2016-01-24;CO-CUN;0;0;0;68;0;76;54
2016-01-31;CO-CUN;0;16;0;78;0;0;36
2016-02-07;CO-CUN;51;42;0;41;0;0;0
2016-02-14;CO-CUN;19;14;0;0;0;0;41
2016-02-21;CO-CUN;39;0;0;57;68;52;51
2016-02-28;CO-CUN;28;20;0;37;0;0;0
2016-03-06;CO-CUN;41;0;0;36;0;0;51
2016-03-13;CO-CUN;18;0;0;46;0;0;0
2016-03-20;CO-CUN;0;32;0;35;0;65;100
2016-03-27;CO-CUN;0;0;0;27;0;0;0
2016-04-03;CO-CUN;0;0;0;69;0;69;35
2016-04-10;CO-CUN;0;0;0;17;39;0;70
2016-04-17;CO-CUN;21;0;0;20;0;0;32
2016-04-24;CO-CUN;92;0;0;47;0;0;0
